iter	Passed	Remaining
220	1567	5523
221	1573	5514
222	1579	5505
223	1586	5494
224	1591	5483
225	1597	5472
226	1604	5462
227	1610	5451
228	1616	5442
229	1622	5433
230	1629	5423
231	1635	5413
232	1641	5404
233	1648	5396
234	1654	5386
235	1660	5376
236	1667	5367
237	1673	5358
238	1679	5348
239	1686	5339
240	1692	5329
241	1698	5320
242	1704	5311
243	1711	5301
244	1717	5293
245	1724	5284
246	1730	5275
247	1736	5265
248	1742	5255
249	1748	5245
250	1754	5236
251	1761	5228
252	1768	5221
253	1774	5212
254	1780	5202
255	1787	5194
256	1793	5185
257	1799	5175
258	1805	5166
259	1812	5158
260	1818	5149
261	1825	5141
262	1831	5133
263	1837	5123
264	1844	5115
265	1850	5106
266	1856	5097
267	1864	5093
268	1870	5084
269	1877	5075
270	1883	5066
271	1889	5057
272	1895	5048
273	1902	5041
274	1909	5033
275	1916	5028
276	1924	5024
277	1931	5016
278	1939	5010
279	1946	5004
280	1952	4995
281	1959	4987
282	1965	4978
283	1971	4970
284	1978	4963
285	1984	4954
286	1991	4947
287	1997	4938
288	2004	4930
289	2010	4922
290	2016	4912
291	2022	4903
292	2028	4895
293	2034	4886
294	2040	4877
295	2047	4868
296	2053	4860
297	2059	4852
298	2065	4843
299	2073	4838
300	2079	4830
301	2086	4822
302	2092	4813
303	2098	4805
304	2105	4796
305	2111	4788
306	2117	4780
307	2124	4772
308	2130	4763
309	2136	4754
310	2142	4747
311	2149	4738
312	2155	4730
313	2161	4721
314	2167	4714
315	2173	4705
316	2180	4697
317	2186	4689
318	2192	4680
319	2199	4673
320	2205	4665
321	2211	4657
322	2217	4648
323	2224	4640
324	2230	4632
325	2237	4625
326	2243	4617
327	2249	4609
328	2255	4600
329	2263	4596
330	2270	4589
331	2276	4581
332	2283	4573
333	2289	4565
334	2296	4558
335	2302	4550
336	2309	4542
337	2315	4535
338	2324	4531
339	2332	4528
340	2339	4520
341	2346	4513
342	2354	4509
343	2360	4501
344	2368	4496
345	2374	4489
346	2381	4481
347	2387	4473
348	2393	4465
349	2400	4457
350	2406	4449
351	2412	4441
352	2419	4434
353	2425	4426
354	2432	4419
355	2438	4410
356	2444	4403
357	2450	4395
358	2457	4387
359	2463	4380
360	2470	4372
361	2476	4365
362	2483	4357
363	2489	4349
364	2495	4341
365	2501	4333
366	2508	4326
367	2514	4319
368	2522	4313
369	2530	4309
370	2537	4302
371	2544	4294
372	2550	4287
373	2556	4279
374	2563	4271
375	2569	4264
376	2575	4256
377	2581	4248
378	2588	4240
379	2594	4233
380	2600	4225
381	2607	4217
382	2613	4210
383	2619	4202
384	2625	4194
385	2632	4187
386	2638	4179
387	2644	4170
388	2650	4163
389	2657	4155
390	2663	4148
391	2670	4141
392	2676	4133
393	2682	4126
394	2688	4118
395	2695	4111
396	2702	4104
397	2708	4097
398	2715	4090
399	2721	4082
400	2727	4074
401	2734	4067
402	2739	4058
403	2748	4054
404	2760	4054
405	2767	4048
406	2773	4040
407	2779	4033
408	2786	4026
409	2792	4018
410	2798	4010
411	2805	4003
412	2811	3996
413	2817	3988
414	2824	3981
